Wall time,Step,Value
1532465801.4341776,18,2.2887284755706787
1532465802.4990897,24,2.282606601715088
1532465805.4784522,40,2.2279229164123535
1532465805.825884,42,2.271618366241455
1532465806.3449538,45,2.266416549682617
1532465808.2500107,56,2.238098621368408
1532465810.9371638,71,2.234699010848999
1532465811.4627979,74,2.251384735107422
1532465815.2037168,94,2.2418580055236816
1532465817.4885082,106,2.1612658500671387
1532465821.8030064,126,2.146649122238159
1532465827.469263,155,2.171751022338867
1532465828.0460842,158,2.1687681674957275
1532465829.939113,167,2.123732089996338
1532465833.5056705,183,2.120230197906494
1532465833.8963623,185,2.1737143993377686
1532465842.9544206,229,2.090001106262207
1532465843.9613106,234,2.0468804836273193
1532465847.0842938,249,1.9467719793319702
1532465848.3131957,255,1.9904506206512451
1532465849.3879907,260,1.8576921224594116
1532465850.812043,267,1.9559358358383179
1532465852.0826354,273,2.030174970626831
1532465859.4264598,308,1.9607739448547363
1532465859.8780565,310,1.8924325704574585
1532465861.4953785,318,2.130197763442993
1532465865.8388958,339,2.08394718170166
1532465867.460863,347,1.8978770971298218
1532465871.640828,367,1.9006189107894897
1532465882.6924925,421,1.8823286294937134
1532465882.898313,422,1.9271142482757568
1532465886.38683,439,1.8088449239730835
1532465887.028292,442,1.9504262208938599
1532465887.6510587,445,1.8501524925231934
1532465890.7206788,460,1.7954165935516357
1532465891.3407185,463,2.0204219818115234
1532465891.5435686,464,1.8251746892929077
1532465893.5935237,474,1.894519329071045
1532465897.4834259,493,1.7440203428268433
1532465902.0565825,514,1.8645128011703491
1532465905.5502462,531,1.924170970916748
1532465906.6069477,536,1.9385071992874146
1532465912.2731626,563,1.7233062982559204
1532465914.2766576,573,1.7576839923858643
1532465915.4844465,579,1.7838349342346191
1532465916.932171,586,1.853071689605713
1532465917.137967,587,1.8066473007202148
1532465924.3935595,620,1.8007197380065918
1532465924.799479,622,1.9896440505981445
1532465927.4070206,634,1.881605625152588
1532465928.8841515,641,1.7957115173339844
1532465929.0826073,642,1.8301897048950195
1532465929.4804173,644,1.8865840435028076
1532465930.1155643,647,1.8614706993103027
1532465930.5448437,649,1.8369262218475342
1532465932.9538493,661,1.824541449546814
1532465934.9561884,671,1.8214918375015259
1532465944.815163,714,1.8730212450027466
1532465946.4650717,722,1.883500576019287
1532465948.4936833,730,1.6655020713806152
1532465950.5052478,739,1.8493231534957886
1532465953.1012838,752,1.6512794494628906
1532465953.9605083,756,1.8879551887512207
1532465955.7808392,765,1.7782787084579468
1532465956.5679893,769,1.8366775512695312
1532465956.9639506,771,1.736826777458191
1532465957.3919623,773,1.6571540832519531
1532465958.795438,780,1.741999864578247
1532465959.8095329,785,1.7172313928604126
1532465960.2050319,787,1.692448616027832
1532465961.2057467,792,1.7091994285583496
1532465961.5982354,794,1.7127392292022705
1532465962.406585,798,1.8902733325958252
1532465963.304576,802,1.7569267749786377
1532465964.5531135,808,1.6819802522659302
1532465964.7520444,809,1.6001888513565063
1532465969.3315094,832,1.7938024997711182
1532465970.1528468,836,1.885447382926941
1532465976.8854153,869,1.7924716472625732
1532465978.2708387,876,1.742510199546814
1532465979.4691806,882,1.7913769483566284
1532465982.28567,896,1.872532844543457
1532465983.0591583,900,1.5736944675445557
1532465984.4826746,907,1.6748079061508179
1532465984.869167,909,1.8582446575164795
1532465986.4501348,917,1.5377779006958008
1532465989.1603692,931,1.7232402563095093
1532465989.3547752,932,1.6933448314666748
1532465991.34113,942,1.83597731590271
1532465991.9394069,945,1.6625322103500366
1532465993.7147322,954,1.6189311742782593
1532465995.3538113,962,1.5810272693634033
1532465997.1206014,971,1.6128897666931152
1532465997.3118553,972,1.643563985824585
1532465998.5014725,978,1.8761423826217651
1532465998.6931791,979,1.6483455896377563
1532465999.6816554,984,1.7188866138458252
1532466003.631303,1002,1.65338134765625
1532466004.200803,1005,1.533300757408142
1532466005.9427216,1014,1.5762686729431152
1532466011.6948893,1044,1.6085753440856934
1532466014.6055393,1057,1.8283767700195312
1532466015.8430736,1063,1.6510695219039917
1532466016.4174902,1066,1.6585828065872192
1532466016.835939,1068,1.8179701566696167
1532466017.683341,1072,1.4870479106903076
1532466018.927151,1078,1.6839163303375244
1532466020.061421,1083,1.6113500595092773
1532466022.1283116,1093,1.513596773147583
1532466023.2974732,1099,1.6271979808807373
1532466024.3608303,1104,1.6949001550674438
1532466026.2959847,1114,1.7467759847640991
1532466034.4752948,1156,1.51326322555542
1532466035.2335513,1160,1.6128076314926147
1532466035.4230723,1161,1.5318517684936523
1532466035.6139097,1162,1.6808826923370361
1532466039.0468812,1180,1.4546607732772827
1532466041.5561426,1193,1.6292963027954102
1532466044.1781976,1206,1.642165184020996
1532466049.1684275,1232,1.6287527084350586
1532466051.4957385,1244,1.4995006322860718
1532466053.585426,1255,1.5167044401168823
1532466054.1595519,1258,1.5626012086868286
1532466054.7307625,1261,1.5911662578582764
1532466058.5685012,1281,1.6878582239151
1532466059.7050836,1287,1.6304932832717896
1532466061.0746675,1294,1.5056604146957397
1532466062.2215903,1300,1.6048437356948853
1532466065.336728,1316,1.6179291009902954
1532466065.9389377,1319,1.7025153636932373
1532466068.0324442,1330,1.601498007774353
1532466068.6047845,1333,1.6240365505218506
1532466069.169579,1336,1.764844536781311
1532466069.3597298,1337,1.7104884386062622
1532466078.642031,1385,1.451226830482483
1532466079.2093272,1388,1.3298861980438232
1532466079.781856,1391,1.611439824104309
1532466079.9712462,1392,1.6684353351593018
1532466084.2623382,1414,1.5117945671081543
1532466086.5423622,1426,1.6218875646591187
1532466088.483502,1436,1.526530146598816
1532466089.2497354,1440,1.4392520189285278
1532466094.0259914,1465,1.7742440700531006
1532466094.213954,1466,1.4546810388565063
1532466096.3027816,1477,1.4754551649093628
1532466097.8638926,1485,1.6765966415405273
1532466098.628282,1489,1.6062928438186646
1532466099.0078378,1491,1.5874302387237549
